,m,m_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,Td_dew,Td_dew_unit,v,v_unit,vol,vol_unit,x,x_unit,s,s_unit,phase,Ar,water,O2,CH4,H2O,Water,N2,CO2
gas_re_combustion_in,81.261,kg / s,0.975,bar,963.4744096105262,kJ / kg,545.9956507679196,C,0.0,K,0.0,K,198.7458272015523,m^3 / s,2.4457713688184035,m^3 / kg,0.0,-,7874.697836580466,J / kgK,,0.01267759441798649,,0.1586340839542664,0.0,0.03872099657321123,,0.7422780669693949,0.04768918930615358
gas_turbine_in,81.261,kg / s,13.995,bar,1635.600368171332,kJ / kg,1100.6438307345416,C,0.0,K,0.0,K,23.267433767574335,m^3 / s,0.28632965097124496,m^3 / kg,0.0,-,7722.754544744487,J / kgK,,0.01267759441798649,,0.1586340839542664,0.0,0.03872099657321123,,0.7422780669693949,0.04768918930615358
gas_turbine_out,81.261,kg / s,1.0,bar,963.4744096105262,kJ / kg,545.9951238038824,C,0.0,K,0.0,K,193.77813881549997,m^3 / s,2.3846388650828807,m^3 / kg,0.0,-,7867.327491866716,J / kgK,,0.01267759441798649,,0.1586340839542664,0.0,0.03872099657321123,,0.7422780669693949,0.04768918930615358
main_steam1_deliver,11.56407626132392,kg / s,48.0,bar,3656.8695962092083,kJ / kg,594.9999999999987,C,333.59847585579575,K,-333.59847585579575,K,0.9430120138738414,m^3 / s,0.08154667891872584,m^3 / kg,-1.0,-,7267.46232228526,J / kgK,state not recognised,,1.0,,,,,,
main_steam1_recycle,11.78907626132392,kg / s,48.4,bar,473.29203048759626,kJ / kg,112.00417691621391,C,-149.91156906787927,K,149.91156906787927,K,0.012387665618496562,m^3 / s,0.0010507749160242874,m^3 / kg,0.0,-,1436.8917382448535,J / kgK,l,,1.0,,,,,,
main_steam1_splitter,11.78907626132392,kg / s,1.5,bar,467.1268876385008,kJ / kg,111.34937890077259,C,0.0,K,0.0,K,0.0124106598022848,m^3 / s,0.001052725381292179,m^3 / kg,0.0,-,1433.6891336490166,J / kgK,tp,,1.0,,,,,,
main_steam2_recycle,0.5189516766061198,kg / s,9.2,bar,468.13996085469944,kJ / kg,111.45703026709623,C,-64.82959716377854,K,64.82959716377854,K,0.000546146222074704,m^3 / s,0.0010524028473063872,m^3 / kg,0.0,-,1434.2159759836911,J / kgK,l,,1.0,,,,,,
main_steam2_splitter,0.5189516766061198,kg / s,1.5,bar,467.1268876385008,kJ / kg,111.34937890077259,C,0.0,K,0.0,K,0.0005463136016273931,m^3 / s,0.001052725381292179,m^3 / kg,0.0,-,1433.6891336490166,J / kgK,tp,,1.0,,,,,,
main_steam_turbine1,11.56407626132392,kg / s,47.5,bar,3656.8695962092083,kJ / kg,594.8233859945358,C,334.06926496431447,K,-334.06926496431447,K,0.9529633939295417,m^3 / s,0.0824072215017061,m^3 / kg,-1.0,-,7272.18407549165,J / kgK,state not recognised,,1.0,,,,,,
recycle_merge_extract_tb4,10.709076130607327,kg / s,2.0,bar,121.74659063658699,kJ / kg,29.00328858546169,C,-91.20680274251015,K,91.20680274251015,K,0.010752189813529963,m^3 / s,0.0010040259012445913,m^3 / kg,0.0,-,422.93049982707066,J / kgK,l,,1.0,,,,,,
recycle_pump,10.427076130607327,kg / s,0.04,bar,121.3879295279838,kJ / kg,28.96037902885587,C,0.0,K,0.0,K,0.010469842700318331,m^3 / s,0.0010041014920362447,m^3 / kg,0.0,-,422.39475811352304,J / kgK,tp,,1.0,,,,,,
turbine1_steam_out,11.56407626132392,kg / s,9.0,bar,3175.8342927096783,kJ / kg,357.4003330746193,C,182.0498830657936,K,-182.0498830657936,K,3.6824210366308425,m^3 / s,0.31843624630414347,m^3 / kg,1.0,-,7378.858830327755,J / kgK,g,,1.0,,,,,,
turbine2_steam_in,12.082027937930041,kg / s,9.0,bar,3158.5663817092855,kJ / kg,349.2354669765866,C,173.88501696776092,K,-173.88501696776092,K,3.7944684008652327,m^3 / s,0.31405889974421974,m^3 / kg,1.0,-,7351.294523303002,J / kgK,g,,1.0,,,,,,
turbine2_steam_out,12.082027937930041,kg / s,4.0,bar,2974.472757368559,kJ / kg,254.8672849972636,C,111.25892574215601,K,-111.25892574215601,K,7.261853526934651,m^3 / s,0.6010459141661935,m^3 / kg,1.0,-,7399.3964133796435,J / kgK,g,,1.0,,,,,,
turbine3_steam_in,11.631524585281808,kg / s,4.0,bar,2974.472757368559,kJ / kg,254.8672849972636,C,111.25892574215601,K,-111.25892574215601,K,6.991080327507258,m^3 / s,0.6010459141661935,m^3 / kg,1.0,-,7399.3964133796435,J / kgK,g,,1.0,,,,,,
turbine3_steam_out,11.631524585281808,kg / s,1.5,bar,2789.1586680848586,kJ / kg,158.05367848230662,C,46.70429958153403,K,-46.70429958153403,K,15.252973127124832,m^3 / s,1.3113477098630304,m^3 / kg,1.0,-,7458.86727121419,J / kgK,g,,1.0,,,,,,
turbine4_steam_in,11.038972221064393,kg / s,1.5,bar,2789.1586680848586,kJ / kg,158.05367848230662,C,46.70429958153403,K,-46.70429958153403,K,14.475930941334402,m^3 / s,1.3113477098630304,m^3 / kg,1.0,-,7458.86727121419,J / kgK,g,,1.0,,,,,,
turbine4_steam_out,11.038972221064393,kg / s,0.5,bar,2620.648011334511,kJ / kg,81.31689313303252,C,0.0,K,0.0,K,35.385429399786716,m^3 / s,3.2055003573851555,m^3 / kg,0.9893402633791694,-,7523.693426677811,J / kgK,tp,,1.0,,,,,,
turbine5_steam_in,10.427076130607327,kg / s,0.5,bar,2620.648011334511,kJ / kg,81.31689313303252,C,0.0,K,0.0,K,33.42399626314401,m^3 / s,3.2055003573851555,m^3 / kg,0.9893402633791694,-,7523.693426677811,J / kgK,tp,,1.0,,,,,,
turbine5_steam_out,10.427076130607327,kg / s,0.04,bar,2302.1523668299897,kJ / kg,28.96037902885587,C,0.0,K,0.0,K,325.2578362930445,m^3 / s,31.193580273025184,m^3 / kg,0.8965924785943554,-,7640.83076257041,J / kgK,tp,,1.0,,,,,,
