,m,m_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,Td_dew,Td_dew_unit,v,v_unit,vol,vol_unit,x,x_unit,s,s_unit,phase,Water
c39,0.6878760042417063,kg / s,1.27,bar,2736.147989821549,kJ / kg,130.93145276038865,C,24.504076012012547,K,-24.504076012012547,K,0.9967930652278825,m^3 / s,1.4490882936478022,m^3 / kg,1.0,-,7407.763147619362,J / kgK,g,1
c4,0.008,kg / s,1.27,bar,3347.0471093899196,kJ / kg,433.0983184235497,C,326.6709416751736,K,-326.6709416751736,K,0.020504024564746485,m^3 / s,2.5630030705933105,m^3 / kg,-1.0,-,8534.30037437837,J / kgK,state not recognised,1
c40,0.03400000000000787,kg / s,1.27,bar,3147.0285801217915,kJ / kg,336.12636322211836,C,229.69898647374225,K,-229.69898647374225,K,0.07509844389876259,m^3 / s,2.2087777617278004,m^3 / kg,1.0,-,8229.762971014845,J / kgK,g,1
c41,469.24105943351805,kg / s,3.75,bar,425.3893281547147,kJ / kg,101.42737674837838,C,-39.86922622034899,K,39.86922622034899,K,0.49009633562806,m^3 / s,0.0010444446959090047,m^3 / kg,0.0,-,1323.092775137245,J / kgK,l,1
c42,29.0000766787138,kg / s,1.27,bar,446.4992639265227,kJ / kg,106.42737674837605,C,-5.684341886080802e-14,K,5.684341886080802e-14,K,0.033803828318168125,m^3 / s,0.0011656461702730704,m^3 / kg,8.646654353168926e-05,-,1379.761420666738,J / kgK,tp,1
c43,29.0000766787138,kg / s,3.9,bar,446.4992639265227,kJ / kg,106.42737674837645,C,-36.27063440176943,K,36.27063440176943,K,0.030405760463684144,m^3 / s,0.001048471726490369,m^3 / kg,0.0,-,1379.0349119923385,J / kgK,l,1
c44,29.0000766787138,kg / s,3.9,bar,600.7428490906043,kJ / kg,142.69801115014587,C,0.0,K,0.0,K,0.031395074872118484,m^3 / s,0.0010825859262352442,m^3 / kg,0.0,-,1767.0852111349188,J / kgK,tp,1
c45,469.24105943351805,kg / s,3.7,bar,434.92190359122515,kJ / kg,103.68819233956532,C,-37.13123891409771,K,37.13123891409771,K,0.4909446261949113,m^3 / s,0.0010462524886198034,m^3 / kg,0.0,-,1348.4790678850425,J / kgK,l,1
c46,469.24105943351805,kg / s,3.65,bar,579.3115353607988,kJ / kg,137.69801115014616,C,-2.6390233220975006,K,2.6390233220975006,K,0.5055447284531156,m^3 / s,0.0010773667783109697,m^3 / kg,0.0,-,1715.3019249819306,J / kgK,l,1
c47,0.016,kg / s,1.27,bar,3151.1005662533166,kJ / kg,338.12719779355393,C,231.69982104517783,K,-231.69982104517783,K,0.03545757278047617,m^3 / s,2.2160982987797606,m^3 / kg,1.0,-,8236.435335608852,J / kgK,g,1
c48,0.016,kg / s,10.24,bar,3151.1005662533166,kJ / kg,346.8960398836158,C,165.98486845849783,K,-165.98486845849783,K,0.0043885856488030785,m^3 / s,0.2742866030501924,m^3 / kg,1.0,-,7280.729773319218,J / kgK,g,1
c49,0.5218682691013606,kg / s,10.24,bar,3151.1005662533166,kJ / kg,346.8960398836158,C,165.98486845849783,K,-165.98486845849783,K,0.1431414747714959,m^3 / s,0.2742866030501924,m^3 / kg,1.0,-,7280.729773319218,J / kgK,g,1
c5,0.01,kg / s,1.27,bar,2980.4985788968534,kJ / kg,253.4436156883014,C,147.0162389399253,K,-147.0162389399253,K,0.019055118139212842,m^3 / s,1.905511813921284,m^3 / kg,1.0,-,7936.091733199854,J / kgK,g,1
c50,0.5218682691013606,kg / s,3.65,bar,3151.1005662533166,kJ / kg,340.4889706295087,C,200.15193615726503,K,-200.15193615726503,K,0.4021791318007529,m^3 / s,0.7706525872770376,m^3 / kg,1.0,-,7751.253135707466,J / kgK,g,1
c51,110.72307229738055,kg / s,3.65,bar,626.4108235599494,kJ / kg,140.33703447224366,C,0.0,K,0.0,K,1.0496706946131196,m^3 / s,0.00948014422679592,m^3 / kg,0.01670502024446552,-,1829.2969893602747,J / kgK,tp,1
c52,580.486,kg / s,3.65,bar,590.6074373850948,kJ / kg,140.33703447224366,C,0.0,K,0.0,K,0.6269872756121856,m^3 / s,0.0010801074885736877,m^3 / kg,0.0,-,1742.7080925148096,J / kgK,tp,1
c53,110.72307229738055,kg / s,21.5,bar,626.4108235599494,kJ / kg,148.41780278626555,C,-67.64634668823612,K,67.64634668823612,K,0.12042534346281751,m^3 / s,0.0010876264627066937,m^3 / kg,0.0,-,1823.8277889264755,J / kgK,l,1
c54,580.486,kg / s,193.2,bar,616.0835512657546,kJ / kg,143.41780278626578,C,-219.44549930074555,K,219.44549930074555,K,0.6220837309977566,m^3 / s,0.001071660179569803,m^3 / kg,0.0,-,1754.957222652657,J / kgK,l,1
c55,110.72307229738055,kg / s,21.5,bar,925.4197089557788,kJ / kg,216.06414947450168,C,0.0,K,0.0,K,0.13100106013331567,m^3 / s,0.0011831414845631487,m^3 / kg,0.0,-,2481.111357609157,J / kgK,tp,1
c56,580.486,kg / s,193.15,bar,673.1171101030765,kJ / kg,156.83528919955842,C,-206.0064513589055,K,206.0064513589055,K,0.6301915912061931,m^3 / s,0.0010856275452055572,m^3 / kg,0.0,-,1889.7218190600415,J / kgK,l,1
